STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,milkitem,Item of milk,dairyprod,Dairy and other animal products (except meat),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1993-04,,66.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1993-05,,64.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1993-06,,56.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1993-07,,58.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1993-08,,55,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1993-09,,60.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1993-10,,55.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1993-11,,62,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1993-12,,65.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1994-01,,67.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1994-02,,62.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1994-03,,67.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1994-04,,62.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1994-05,,67.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1994-06,,60.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1994-07,,61.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1994-08,,61.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1994-09,,57.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1994-10,,57.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1994-11,,64.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1994-12,,64,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1995-01,,62.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1995-02,,59.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1995-03,,64.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1995-04,,58.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1995-05,,66.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1995-06,,61,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1995-07,,60.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1995-08,,58.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1995-09,,56.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1995-10,,57.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1995-11,,57.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1995-12,,60.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1996-01,,58.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1996-02,,62,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1996-03,,63.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1996-04,,61.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1996-05,,64.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1996-06,,61.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1996-07,,60.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1996-08,,63.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1996-09,,57.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1996-10,,66,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1996-11,,64.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1996-12,,66.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1997-01,,72,,,,,
